LATITUDE,LONGITUDE,OBSERVATION DATE
29.10094916,-84.82532847,43101
29.10094916,-84.82532847,43101
29.15780225,-84.98230987,43102
29.21351872,-84.84339665,43102
29.21463877,-85.13920585,43103
29.32596347,-84.86146483,43103
29.27148335,-85.29587534,43104
29.43828313,-84.87953301,43104
29.32829602,-85.45211537,43105
29.5504774,-84.89760119,43105
29.38507674,-85.60766715,43106
29.662546,-84.91566937,43106
29.44182546,-85.76222207,43107
29.77448863,-84.93373756,43107
29.49854215,-85.91542769,43108
29.88630502,-84.95180574,43108
29.55522678,-86.06689367,43109
29.99799487,-84.96987392,43109
29.6118793,-86.21619765,43110
30.10955792,-84.9879421,43110
29.66849968,-86.362891,43111
30.22099387,-85.00601028,43111
29.72508788,-86.50650454,43112
30.33230245,-85.02407846,43112
29.78164386,-86.64655414,43113
30.44348339,-85.04214665,43113
29.8381676,-86.78254617,43114
30.55453642,-85.06021483,43114
29.89465904,-86.91398284,43115
30.66546127,-85.07828301,43115
29.95111816,-87.04036739,43116
30.77625767,-85.09635119,43116
30.00754492,-87.1612091,43117
30.88692535,-85.11441937,43117
30.06393928,-87.27602811,43118
30.99746406,-85.13248755,43118
30.1203012,-87.38436006,43119
31.10787353,-85.15055573,43119
30.17663066,-87.48576052,43120
31.2181535,-85.16862392,43120
30.23292761,-87.57980913,43121
31.32830372,-85.1866921,43121
30.28919202,-87.66611359,43122
31.43832394,-85.20476028,43122
30.34542385,-87.74431328,43123
31.54821391,-85.22282846,43123
30.40162307,-87.81408273,43124
31.65797336,-85.24089664,43124
30.45778965,-87.8751347,43125
31.76760207,-85.25896482,43125
30.51392354,-87.927223,43126
31.87709978,-85.27703301,43126
30.57002472,-87.97014505,43127
31.98646625,-85.29510119,43127
30.62609315,-88.00374403,43128
32.09570125,-85.31316937,43128
30.68212879,-88.02791082,43129
32.20480452,-85.33123755,43129
30.73813161,-88.04258554,43130
32.31377585,-85.34930573,43130
30.79410157,-88.04775875,43131
32.42261499,-85.36737391,43131
30.85003865,-88.04347237,43132
32.53132171,-85.3854421,43132
30.90594281,-88.02982025,43133
32.63989579,-85.40351028,43133
30.96181401,-88.00694834,43134
32.74833699,-85.42157846,43134
31.01765222,-87.97505465,43135
32.8566451,-85.43964664,43135
31.0734574,-87.93438872,43136
32.96481989,-85.45771482,43136
31.12922953,-87.88525096,43137
33.07286114,-85.475783,43137
31.18496858,-87.82799145,43138
33.18076863,-85.49385119,43138
31.24067449,-87.76300866,43139
33.28854216,-85.51191937,43139
31.29634726,-87.69074766,43140
33.39618149,-85.52998755,43140
31.35198683,-87.61169822,43141
33.50368643,-85.54805573,43141
31.40759319,-87.52639246,43142
33.61105676,-85.56612391,43142
31.46316629,-87.43540245,43143
33.71829228,-85.58419209,43143
31.5187061,-87.33933733,43144
33.82539278,-85.60226028,43144
31.5742126,-87.23884038,43145
33.93235806,-85.62032846,43145
31.62968575,-87.13458584,43146
34.03918791,-85.63839664,43146
31.68512551,-87.02727542,43147
34.14588215,-85.65646482,43147
31.74053186,-86.91763485,43148
34.25244057,-85.674533,43148
31.79590477,-86.80641007,43149
34.35886299,-85.69260118,43149
31.8512442,-86.69436343,43150
34.4651492,-85.71066936,43150
31.90655013,-86.58226973,43151
34.57129902,-85.72873755,43151
31.96182251,-86.47091219,43152
34.67731227,-85.74680573,43152
32.01706133,-86.36107831,43153
34.78318875,-85.76487391,43153
32.07226654,-86.25355581,43154
34.88892828,-85.78294209,43154
32.12743812,-86.14912841,43155
34.99453068,-85.80101027,43155
32.18257605,-86.04857176,43156
35.09999578,-85.81907845,43156
32.23768027,-85.95264928,43157
35.2053234,-85.83714664,43157
32.29275078,-85.86210815,43158
35.31051336,-85.85521482,43158
32.34778754,-85.77767538,43159
35.41556548,-85.873283,43159
32.40279051,-85.70005386,43160
35.52047961,-85.89135118,43160
32.45775967,-85.62991873,43161
35.62525556,-85.90941936,43161
32.51269498,-85.56791373,43162
35.72989318,-85.92748754,43162
32.56759643,-85.51464782,43163
35.8343923,-85.94555573,43163
32.62246397,-85.47069194,43164
35.93875276,-85.96362391,43164
32.67729759,-85.43657599,43165
36.04297439,-85.98169209,43165
32.73209724,-85.412786,43166
36.14705705,-85.99976027,43166
32.78686291,-85.39976165,43167
36.25100057,-86.01782845,43167
32.84159456,-85.39789389,43168
36.35480479,-86.03589663,43168
32.89629216,-85.40752292,43169
36.45846958,-86.05396482,43169
32.95095569,-85.42893647,43170
36.56199478,-86.072033,43170
33.47951695,-85.46236828,43171
36.66538023,-86.09010118,43171
33.99320573,-85.50799698,43172
36.7686258,-86.10816936,43172
32.52145482,-85.56594518,43173
36.87173135,-86.12623754,43173
31.73073082,-85.63627895,43174
36.97469672,-86.14430572,43174
31.16350522,-85.71900755,43175
37.07752178,-86.16237391,43175
