LATITUDE,LONGITUDE,OBSERVATION DATE
3059447.6721643205,-10937090.690784814,43101
3476382.9519105777,-10728331.59957427,43101
3275368.569148129,-10870596.790047193,43101
3468820.950748305,-11814431.951252343,43101
3015061.2793523287,-10899327.109697212,43102
3216620.027316701,-10880517.22410414,43102
3510394.411607821,-10703955.996835347,43102
3535200.4493444944,-10280980.946519442,43102
3054361.9967554766,-10889210.064605514,43103
3205297.187139782,-10876319.922300816,43103
3506153.748896415,-10690275.494077044,43103
3535200.4493444944,-10280980.946519442,43103
3054361.996755477,-10889210.064605514,43104
3491282.4984180545,-10708023.7443031,43104
3295940.769590166,-11387989.763557103,43104
3535200.4493444944,-10280980.946519442,43104
3074821.4070796785,-10884095.30811236,43105
3377882.3623401136,-10788801.404609539,43105
3469980.5620387555,-11814078.428379456,43105
3295940.769590166,-11387989.763557103,43105
3535200.4493444944,-10280980.946519442,43105
3077969.6342114457,-10877056.938225389,43106
3468327.129178417,-9465289.381482568,43106
3295940.769590166,-11387989.763557103,43106
3535200.4493444944,-10280980.946519442,43106
3081306.7063239273,-10873311.05744862,43107
3513243.782708529,-10750105.804406118,43107
3295940.769590166,-11387989.763557103,43107
3535200.4493444944,-10280980.946519442,43107
3468315.0282631656,-9465046.571409246,43107
3033659.757815378,-10902892.365391443,43108
3517902.887415433,-10761231.477292556,43108
3295940.769590166,-11387989.763557103,43108
3468315.0282631656,-9465046.571409246,43108
2743335.6923883865,-11658105.773258341,43108
3707415.3581120227,-10542843.915633414,43109
3016233.8001305307,-10946355.732595634,43109
3572260.574522679,-10832584.51239406,43109
3468102.7575062504,-10708420.63143625,43109
3295940.769590166,-11387989.763557103,43109
3362136.289384792,-10640139.435419284,43109
2743335.6923883865,-11658105.773258341,43109
3707719.3728494295,-10542735.880281683,43110
3018879.6975377533,-10945171.853985528,43110
3292128.64451738,-10771675.965064125,43110
3559386.5176348146,-10806077.496701155,43110
2818784.6141531183,-11668980.87116591,43110
3875820.4725282635,-10674580.439092427,43110
3716568.844380382,-10548534.852235034,43111
3034815.4952646247,-10940314.977459218,43111
3314671.709926059,-10760772.237638848,43111
3609818.1733982135,-10778503.954755975,43111
3468330.1544072293,-9465350.084000897,43111
2818784.6141531183,-11668980.87116591,43111
3714431.4524707133,-10548665.895053834,43112
3314671.709926059,-10760772.237638846,43112
3051074.4785069567,-10935029.316714855,43112
3468330.1544072293,-9465350.084000897,43112
2818784.6141531183,-11668980.87116591,43112
3710582.062658868,-10550856.71125002,43113
3189287.4932538117,-10845431.741610415,43113
3468330.1544072293,-9465350.084000897,43113
2872754.866473343,-11677159.26739629,43113
3714431.4524707133,-10548665.895053832,43114
3210112.1350029986,-10845390.743264724,43114
3468330.1544072293,-9465350.084000897,43114
2915894.591168329,-11683510.432108939,43114
3860394.7884577964,-11195616.881724885,43114
3713493.977701105,-10554281.236518677,43115
3215181.247981712,-10835461.318811907,43115
3468330.1544072293,-9465350.084000897,43115
3860394.7884577964,-11195616.881724885,43115
3034665.623434019,-11701694.45608742,43115
3708740.2408503704,-10551876.869853381,43116
3218778.8214415074,-10856986.679667266,43116
3468330.1544072293,-9465350.084000897,43116
3860394.7884577964,-11195616.881724885,43116
3034665.623434019,-11701694.45608742,43116
3085407.6952213757,-10930185.628486909,43117
3802799.4800958848,-11930396.47600392,43117
3468330.1544072293,-9465350.084000897,43117
3860394.7884577964,-11195616.881724885,43117
3613690.8158104434,-10568113.56911022,43117
3034665.623434019,-11701694.45608742,43117
3118119.2552955006,-10914287.724588428,43118
3802799.4800958848,-11930396.47600392,43118
3468330.1544072293,-9465350.084000897,43118
3860394.7884577964,-11195616.881724885,43118
3034665.623434019,-11701694.45608742,43118
3256506.8898080713,-10826962.7897314,43119
3034852.8908222797,-10954342.570137113,43119
3802799.4800958848,-11930396.47600392,43119
3860394.7884577964,-11195616.881724885,43119
3385182.202825687,-10870746.36559419,43119
3383183.8178608213,-10605916.439836914,43119
3252648.9508149778,-10834663.475214731,43120
3073899.3810110874,-10908536.544833176,43120
3396226.0834968896,-10579311.512900349,43120
3802799.4800958848,-11930396.47600392,43120
3152418.503423945,-10883557.376238355,43121
3396226.0834968896,-10579311.512900349,43121
3468330.1544072293,-9465350.084000897,43121
3802799.4800958848,-11930396.47600392,43121
3653054.414617047,-10871623.028848086,43121
3270782.407318288,-10824594.498733835,43122
3060308.212404713,-10930727.659616841,43122
3396226.0834968896,-10579311.512900349,43122
3802799.4800958848,-11930396.47600392,43122
3653054.414617047,-10871623.028848086,43122
3402449.2044601454,-10933488.62991539,43122
3269302.722736636,-10818719.024719309,43123
3049187.3362023565,-10907868.08523373,43123
3396226.0834968896,-10579311.512900349,43123
3653054.414617047,-10871623.028848086,43123
3419716.206094604,-10996230.894236589,43123
3385182.202825687,-10870746.36559419,43123
3068295.2650178387,-11038618.617871193,43123
3044674.6451739436,-10907111.382506948,43124
3260906.3585528987,-10826760.576674527,43124
3400573.505375579,-10570443.203921493,43124
3653054.414617047,-10871623.028848086,43124
3419716.206094604,-10996230.894236589,43124
3385182.202825687,-10870746.36559419,43124
3060079.9950982737,-11756932.18929446,43124
3088273.083466197,-10899892.400967814,43125
3468330.1544072293,-9465350.084000897,43125
3874101.082249984,-10446530.92950316,43125
3060079.9950982737,-11756932.18929446,43125
3016932.1156594446,-10943584.405144727,43126
3874101.082249984,-10446530.92950316,43126
3653054.414617047,-10871623.028848086,43126
3385182.202825687,-10870746.36559419,43126
