X*,Y*,date_index
3198834.1661873753,-10879783.764343476,1.0
3193738.8881077664,-10877894.978531973,2.0
3114847.315801731,-10884066.652673312,3.0
3073309.5281151747,-10884253.367329292,4.0
3077168.172526096,-10878370.54546048,5.0
3076204.823018215,-10877336.004933603,6.0
3044850.9622604307,-10898988.036631348,7.0
3022662.8365636044,-10933323.521544127,8.0
3020882.3973646415,-10943441.182846628,9.0
3033967.4400305254,-10939616.429985972,10.0
3067771.4169817176,-10923160.875212135,11.0
3144936.0295497095,-10875895.59634789,12.0
3196373.786173178,-10849901.504209967,13.0
3212332.264208047,-10840579.57461444,14.0
3204732.0730611156,-10858749.590176897,15.0
3120845.6919134157,-10910011.317819407,16.0
3105464.61032824,-10919547.11978824,17.0
3063602.5448560817,-10936392.801997941,18.0
3076106.831414391,-10916274.324374786,19.0
3125509.3697671127,-10894643.810011763,20.0
3086670.4254657757,-10914995.83547604,21.0
3055567.3832946843,-10911746.635041047,22.0
3050261.7662460124,-10907580.366879983,23.0
3067434.0759248757,-10906822.97230367,24.0
3031257.7928939248,-10934424.957789065,25.0
3016404.9843796953,-10945663.931161627,26.0
3016223.6320979996,-10945960.162566239,27.0
3016197.615576459,-10945843.227523115,28.0
3016215.8483873135,-10945783.515593683,29.0
3021812.589811808,-10939578.092800342,30.0
3037185.1534740506,-10920781.1549758,31.0
3114318.6516227494,-10872224.532807654,32.0
3119389.8819074575,-10873019.883984046,33.0
3090104.5214719158,-10894869.249823231,34.0
3073365.802111478,-10907001.702844102,35.0
3029349.504379038,-10937301.087117845,36.0
3017538.610782705,-10945435.333105873,37.0
3016911.657439907,-10945888.21598993,38.0
3016265.364527777,-10946303.034072876,39.0
3016617.6309102327,-10945712.211694077,40.0
3018504.946310908,-10942547.986800142,41.0
3019082.7353217266,-10941614.785935342,42.0
3019408.3695486546,-10941826.502940372,43.0
3023128.340738613,-10939755.461401187,44.0
3034154.1546247797,-10931364.138996908,45.0
3036775.78229886,-10929526.4216977,46.0
3034883.4169587297,-10929266.636974735,47.0
3034966.7789428746,-10928440.59580721,48.0
3035584.9405971975,-10927714.632832367,49.0
3040512.651629513,-10922583.412159402,50.0
3028548.458528895,-10931375.91937944,51.0
3021358.3982132636,-10937053.379710186,52.0
3022806.3027341235,-10948125.767320432,53.0
3022082.677921,-10950121.544140125,54.0
3022357.123972229,-10951233.204849891,55.0
3022287.9816223835,-10949565.364512911,56.0
3025406.3752177097,-10946618.96255593,57.0
3024789.0159879923,-10948427.246125842,58.0
3019466.055669238,-10945683.318975134,59.0
3021076.60542549,-10941098.385150772,60.0
3023219.579361948,-10938118.051969858,61.0
3027506.05267301,-10933762.43846838,62.0
