X,Y,date_index
3216620.027316701,-10880517.22410414,1.0
3205297.187139782,-10876319.922300816,2.0
3054361.996755477,-10889210.064605514,3.0
3074821.4070796785,-10884095.30811236,4.0
3077969.6342114457,-10877056.938225389,5.0
3081306.7063239277,-10873311.05744862,6.0
3033659.757815378,-10902892.365391444,7.0
3016233.8001305307,-10946355.732595634,8.0
3018879.6975377533,-10945171.853985528,9.0
3034815.4952646247,-10940314.977459218,10.0
3051074.4785069567,-10935029.316714857,11.0
3189287.493253812,-10845431.741610415,12.0
3210112.135002998,-10845390.743264724,13.0
3215181.247981712,-10835461.318811908,14.0
3218778.8214415074,-10856986.679667266,15.0
3085407.695221376,-10930185.628486907,16.0
3118119.2552955006,-10914287.724588428,17.0
3034852.89082228,-10954342.570137111,18.0
3073899.3810110874,-10908536.544833176,19.0
3152418.503423945,-10883557.376238355,20.0
3060308.212404713,-10930727.65961684,21.0
3049187.3362023565,-10907868.08523373,22.0
3044674.645173944,-10907111.382506948,23.0
3088273.083466197,-10899892.400967814,24.0
3016932.1156594446,-10943584.405144729,25.0
3016264.7865425604,-10946306.845846113,26.0
3016198.640856774,-10945867.068544466,27.0
3016195.260157374,-10945820.081616463,28.0
3016194.504471626,-10945809.578656089,29.0
3016865.717019776,-10944541.225113971,30.0
3024155.8716661585,-10923448.288111744,31.0
3162189.5026500896,-10842901.14193809,32.0
3117715.7759150253,-10875525.313560331,33.0
3083571.119619353,-10900289.4049025,34.0
3076089.195231706,-10905407.885757295,35.0
3016383.270613611,-10946127.288302604,36.0
3016233.8001305307,-10946355.732595636,37.0
3016233.8001305307,-10946355.732595636,38.0
3016233.8001305307,-10946355.732595636,39.0
3016233.8001305307,-10946355.732595636,40.0
3019240.7693724683,-10941314.32461092,41.0
3019240.7693724683,-10941314.32461092,42.0
3018533.247197895,-10942500.538254378,43.0
3021125.418662946,-10941705.11596486,44.0
3039895.916670591,-10926815.052045813,45.0
3037157.631142252,-10929774.017696245,46.0
3033668.1322658816,-10929462.437462326,47.0
3035030.189463957,-10928142.648780042,48.0
3034188.560090817,-10928958.159995662,49.0
3046550.5994425565,-10917726.595658194,50.0
3021942.5345875304,-10936922.087026184,51.0
3017329.08162302,-10935992.801678903,52.0
3023648.967260548,-10953767.18948354,53.0
3021628.143856195,-10949305.0767245,54.0
3022660.27830988,-10952778.995231817,55.0
3021628.143856195,-10949305.0767245,56.0
3027263.546511134,-10944930.814665165,57.0
3024820.884384898,-10950780.37066009,58.0
3017564.7980119684,-10944846.831035908,59.0
3022586.2900192104,-10939154.156969666,60.0
3023221.539008078,-10938433.999407072,61.0
3023389.6432254016,-10933200.080518626,62.0
3055237.873788437,-10925798.200817578,63.0
3122861.906852983,-10904996.79072724,64.0
3121929.6656450992,-10903467.674946615,65.0
3188941.0131558725,-10885459.989372674,66.0
3188755.2542089853,-10887580.989547873,67.0
3077850.175048029,-10915756.866752476,68.0
3080144.15563896,-10911920.511970043,69.0
3043025.7126657697,-10922154.206054991,70.0
3050741.3409762974,-10916622.32628995,71.0
3016233.8001305307,-10946355.732595628,72.0
3016233.8001305307,-10946355.732595628,73.0
3016233.8001305303,-10946355.732595636,74.0
3016233.8001305303,-10946355.732595636,75.0
3016233.80013053,-10946355.732595636,76.0
3014865.099900121,-10936559.84839377,77.0
3072965.733148806,-10899473.490192244,78.0
3074036.8457197943,-10900342.869670495,79.0
3078387.67275525,-10899452.70539823,80.0
3080768.321027536,-10904732.151448254,81.0
3059656.9224739256,-10957573.496063909,82.0
3055502.1760649886,-10962578.552689789,83.0
3098972.830397244,-10883255.430773685,84.0
3104919.506207165,-10893963.370921312,85.0
3111651.1101175547,-10880029.307720715,86.0
3107806.7755994517,-10876280.6513468,87.0
3110817.9132736195,-10874195.4868416,88.0
3175488.783505205,-10839004.598976362,89.0
3253686.992010888,-10824230.169400385,90.0
3210248.016543444,-10829572.737773348,91.0
3095988.6212523226,-10880145.79934453,92.0
3095988.6212523226,-10880145.79934453,93.0
3195323.6305410564,-10871488.017110797,94.0
3228761.3198773414,-10869815.904439883,95.0
3132045.164428846,-10885608.34875424,96.0
3109722.4925020444,-10884449.463634156,97.0
3242670.471125765,-10790060.20694026,98.0
3146296.2583874413,-10856902.628035327,99.0
3124104.625982785,-10864330.820060698,100.0
3074591.385035875,-10938920.99546262,101.0
