LATITUDE,LONGITUDE,OBSERVATION DATE
3388500.885902333,-9442712.371652571,43101
3431548.805152132,-9448746.393444056,43101
3417199.65999031,-9446735.052846894,43101
3402993.2082512467,-9477653.0417657,43101
3402850.3541207165,-9444723.712249734,43101
3395746.0977272857,-9460187.461164586,43101
3388500.885902333,-9442712.371652571,43102
3445897.788407033,-9450757.734041216,43102
3431548.805152132,-9448746.393444056,43102
3417199.65999031,-9446735.052846894,43102
3410245.3686808394,-9495093.40961534,43102
3402993.2082512467,-9477653.0417657,43102
3402850.3541207165,-9444723.712249734,43102
3395746.0977272857,-9460187.461164586,43102
3401074.2494351612,-9448589.649478447,43103
3445897.73479452,-9450757.734041216,43103
3410245.35523186,-9495077.473859169,43103
3460246.556618786,-9452769.075009443,43104
3431548.7511831583,-9448746.393444056,43104
3410245.35523186,-9495077.473859169,43104
3405265.370612771,-9450548.742087072,43104
3474595.2170113144,-9454780.41597767,43105
3445897.73479452,-9450757.734041216,43105
3417497.475218287,-9512460.431649953,43105
3406619.288466043,-9486373.22569052,43105
3488943.7151840315,-9456791.756945893,43106
3460246.556618786,-9452769.075009443,43106
3424749.554136531,-9529764.925155522,43106
3413871.4287221665,-9503789.689905904,43106
3503292.05177094,-9458803.097543055,43107
3474595.2170113144,-9454780.41597767,43107
3432001.591677996,-9546956.82233574,43107
3421123.5284870113,-9521143.94266726,43107
3517640.2258327375,-9460814.438140217,43108
3488943.7151840315,-9456791.756945893,43108
3439253.587941187,-9563997.109790795,43108
3428375.5868230495,-9538404.402635051,43108
3531988.237424725,-9462825.778737377,43109
3503292.05177094,-9458803.097543055,43109
3446505.543005084,-9580842.553256856,43109
3435627.6034117294,-9555534.275934583,43109
3546336.0858854055,-9464837.119705604,43110
3517640.2258327375,-9460814.438140217,43110
3453757.456930529,-9597446.349196145,43110
3442879.5791939953,-9572492.219620168,43110
3560683.7715508663,-9466848.460673831,43111
3531988.237424725,-9462825.77873738,43111
3461009.329332892,-9613758.768594677,43111
3450131.513813681,-9589232.999016725,43111
3575031.294469457,-9468859.801642058,43112
3546336.0858854055,-9464837.119705604,43112
3468261.1602346837,-9629727.790370136,43112
3457383.4068957428,-9605708.13504261,43112
3589378.6544004045,-9470871.142239219,43113
3560683.7715508663,-9466848.460673831,43113
3475512.9500679094,-9645299.723647857,43113
3464635.2586857076,-9621866.542626899,43113
