X*,Y*,date_index
3447619.6074878317,-9450999.094957404,1.0
3447619.6069517066,-9450999.094957404,2.0
3455511.441819945,-9452105.332489938,3.0
3472586.381005002,-9454498.828238416,4.0
3486791.4226710056,-9456490.055767253,5.0
3498844.0447318377,-9458179.581935657,6.0
3514627.0832846034,-9460392.056614824,7.0
3528257.730001769,-9462302.830204397,8.0
3542605.6241145725,-9464314.171057574,9.0
3557096.8224603045,-9466345.625424344,10.0
3573453.0245575993,-9468638.554065047,11.0
3586365.67939255,-9470448.76070639,12.0
3600425.9645721056,-9472419.874499023,13.0
3615490.394910181,-9474531.782126037,14.0
3629980.7622554726,-9476563.236169985,15.0
3643466.694778775,-9478453.896594781,16.0
3657239.3956542085,-9480384.78390945,17.0
3673307.3692361144,-9482637.485719657,18.0
3686936.304629434,-9484548.259387147,19.0
3703147.3842097004,-9486821.07429534,20.0
3714624.113144173,-9488430.146795329,21.0
3730691.352118029,-9490682.848564709,22.0
3744032.7545972075,-9492553.3956503,23.0
3757804.362345342,-9494484.28294268,24.0
3773871.0559839685,-9496736.984533956,25.0
3788503.050654459,-9498788.551954191,26.0
3801270.0321658133,-9500578.645107927,27.0
3815471.342968621,-9502569.872566285,28.0
3827664.2609505225,-9504279.512385577,29.0
3844877.5877759205,-9506693.121480672,30.0
3858504.652697619,-9508603.895159297,31.0
3872848.762064274,-9510615.235782428,32.0
3887049.2602173365,-9512606.46301443,33.0
3900962.7195079746,-9514557.463646006,34.0
3915593.1933484967,-9516609.031396493,35.0
3932375.025308367,-9518962.300269928,36.0
3945857.703325621,-9520852.960520308,37.0
3959770.510623372,-9522803.960903293,38.0
3971962.0164292874,-9524513.600436857,39.0
3988599.62571106,-9526846.75583753,40.0
4003229.1000811183,-9528898.32359914,41.0
4016137.299032905,-9530708.530444575,42.0
4030336.1700102706,-9532699.757743374,43.0
4036216.4658701266,-9533524.40740676,44.0
4046112.482957191,-9534912.232418798,45.0
4060024.1617410667,-9536863.232798038,46.0
4072501.5264783944,-9538613.099117562,47.0
4075800.139597857,-9539075.707454909,48.0
4073864.024818054,-9538804.176479863,49.0
4084405.1178874057,-9540282.511913404,50.0
4095663.207714506,-9541861.414627263,51.0
4108928.950415099,-9543721.905119373,52.0
4123413.5677435314,-9545753.359300619,53.0
4139762.344042353,-9548046.28763704,54.0
4152669.1133204307,-9549856.494180052,55.0
4169591.1311815684,-9552229.876151495,56.0
4181063.5469091423,-9553838.948985435,57.0
4197124.749533865,-9556091.650983011,58.0
4210317.732922866,-9557942.084460411,59.0
4223797.359631696,-9559832.744644009,60.0
4240216.495323331,-9562135.729635177,61.0
4254269.3715189975,-9564106.843498318,62.0
4273484.266219834,-9566802.040410597,63.0
4288253.749478464,-9568873.721607886,64.0
4302807.951880694,-9570915.232429035,65.0
4317863.842614671,-9573027.140073862,66.0
4334783.542883617,-9575400.52206608,67.0
4358442.024742832,-9578719.234510029,68.0
4373784.027600687,-9580871.369211707,69.0
4389125.826722167,-9583023.503875528,70.0
4403033.649834317,-9584974.504339365,71.0
4419737.170426668,-9587317.716341557,72.0
4433859.7202500785,-9589298.887038501,73.0
4447050.185198079,-9591149.320597177,74.0
4454577.311488302,-9592205.274562072,75.0
4467409.101908174,-9594005.424619172,76.0
4484971.967230546,-9596469.31695347,77.0
4497803.463441701,-9598269.46679999,78.0
4510778.158975366,-9600089.730070101,79.0
4532354.614982234,-9603116.797972182,80.0
4547264.401857079,-9605208.592527201,81.0
4560668.68952774,-9607089.196278693,82.0
4576079.851806046,-9609251.387543092,83.0
4590415.656378571,-9611262.72815509,84.0
4598300.242093956,-9612368.965506725,85.0
4610700.448451168,-9614108.775326408,86.0
4625752.583474295,-9616220.683228018,87.0
4642166.405592449,-9618523.668517904,88.0
4657504.909736006,-9620675.8032268,89.0
4669976.247368584,-9622425.669596426,90.0
4684310.957522307,-9624437.01023255,91.0
4698215.478969834,-9626388.010806615,92.0
4711546.473224351,-9628258.557818023,93.0
4726167.382026564,-9630310.125499839,94.0
4740931.466991183,-9632381.806573749,95.0
4756412.071214267,-9634554.054507742,96.0
4768882.417497275,-9636303.920852317,97.0
4784936.015359332,-9638543.122539701,98.0
4798696.08165234,-9640433.509762319,99.0
4813029.323903262,-9642071.350549964,100.0
4828079.059852023,-9643341.75843479,101.0
4840978.675490966,-9643995.465123719,102.0
4856171.384104591,-9644336.486233369,103.0
4870647.291889686,-9644554.440467756,104.0
4884119.760980213,-9644753.100874802,105.0
4898881.992251251,-9644970.78179481,106.0
4911780.88374004,-9645160.988538506,107.0
4927689.330599403,-9645395.576879866,108.0
4942307.738722291,-9645611.144413235,109.0
4956209.39572027,-9645816.145013522,110.0
4970254.224280783,-9646023.25905055,111.0
4985875.32248234,-9646253.620426616,112.0
4999059.945152758,-9646448.05395744,113.0
5013534.217516357,-9646661.508037424,114.0
5026431.943596299,-9646851.714616936,115.0
5041479.127101829,-9647073.622440973,116.0
5054949.775937142,-9647272.282700527,117.0
5071143.044204649,-9647511.097817883,118.0
5086189.712448735,-9647733.005717052,119.0
5100806.308155665,-9647948.573217059,120.0
5111410.383422508,-9648104.965440901,121.0
5126886.440059377,-9648333.213569494,122.0
5142648.910114466,-9648565.688362809,123.0
5156978.26841555,-9648777.029192526,124.0
5170017.83407493,-9648969.349359004,125.0
5187069.392054485,-9649220.844815562,126.0
5199248.930441606,-9649400.48452597,127.0
5213720.933046421,-9649613.938784052,128.0
5228479.345366865,-9649831.619729107,129.0
5240515.203803357,-9650009.146019502,130.0
5257422.533224277,-9650239.337026658,131.0
5271034.215847793,-9650401.728321876,132.0
5287797.891196567,-9650420.746900659,133.0
5298973.539479012,-9649265.488734815,134.0
5313874.250595291,-9645951.156459,135.0
5329061.344464863,-9640635.293524327,136.0
5344964.637775342,-9633302.210698126,137.0
5355853.260128254,-9627976.54962224,138.0
5371398.030328637,-9620317.390494999,139.0
5386441.171479488,-9612907.246091725,140.0
5405208.931407793,-9603663.48402758,141.0
5422902.069443829,-9594948.945075177,142.0
5436368.764169699,-9588316.016653111,143.0
5450981.405253535,-9581118.583522683,144.0
5462728.68108456,-9575362.542393342,145.0
5483142.87064556,-9565500.462075751,146.0
5499681.776192692,-9556842.807863487,147.0
5514107.51568885,-9548368.311769078,148.0
5527630.5885596005,-9539835.037191087,149.0
5546819.111884427,-9526946.168770911,150.0
5563486.177567249,-9514204.26330244,151.0
5577101.884942489,-9503125.819342848,152.0
5574953.222137097,-9504918.162673526,153.0
5593546.423998961,-9489408.41801324,154.0
5609160.033641671,-9476384.056395749,155.0
5627538.030082225,-9461053.546136385,156.0
5643523.705721611,-9447718.51136488,157.0
5661987.233720315,-9432316.307259314,158.0
5667215.479906874,-9427954.938374218,159.0
5681897.220627133,-9415707.258633228,160.0
5695325.470654428,-9404505.112531826,161.0
5716989.382294879,-9386432.316855105,162.0
5725225.194860028,-9379561.66721819,163.0
5737721.969824068,-9369136.2032856,164.0
5749703.054066633,-9359140.901672428,165.0
5767520.554847351,-9344276.400509475,166.0
5784392.522053706,-9330200.530572128,167.0
5803985.5776513275,-9313854.35904239,168.0
5823950.753843844,-9297197.514681026,169.0
5837012.427810554,-9286300.067015331,170.0
5850761.406237369,-9274829.0694734,171.0
5863650.94025571,-9264075.009276332,172.0
5877686.115312303,-9252365.032600239,173.0
5885276.566866685,-9246032.085997585,174.0
5895301.549279959,-9237667.816884896,175.0
5907474.617245823,-9227511.20441188,176.0
5922368.591347193,-9215084.290319089,177.0
5923657.488400018,-9214008.884188965,178.0
5947358.517818519,-9194233.36233818,179.0
5963326.133207787,-9180910.276603984,180.0
5985379.664489032,-9162508.88460324,181.0
5988673.420912707,-9159760.624759646,182.0
5997122.410229465,-9152710.740812985,183.0
6018602.534268838,-9134787.30708604,184.0
6026765.01264309,-9127976.402252765,185.0
6046096.782555734,-9111845.311917104,186.0
6057409.45595992,-9102405.636803206,187.0
6076740.905762799,-9086274.546582356,188.0
6095177.1181108095,-9070890.26601247,189.0
6113290.844857722,-9055774.836881736,190.0
6120378.833401607,-9049860.10378662,191.0
6129865.160043831,-9041943.920492498,192.0
6144049.148640344,-9029726.113073952,193.0
6157456.526621709,-9016253.665427862,194.0
6166517.482980156,-9005021.646916792,195.0
6173428.899839647,-8993072.691004813,196.0
6178470.925648072,-8977061.090270322,197.0
6181322.290680276,-8967382.43600919,198.0
6184282.816966926,-8953820.371117985,199.0
6186210.722625902,-8943663.75869327,200.0
6187809.945771392,-8932969.443161907,201.0
6188964.855189017,-8922812.830638116,202.0
6189990.381710162,-8911461.322667845,203.0
6191350.895536396,-8896405.638272747,204.0
6192478.22022576,-8885293.109270994,205.0
6194355.253516277,-8869819.211544055,206.0
6195965.813038191,-8856257.146746919,207.0
6197417.32025295,-8843770.487965979,208.0
6198380.770420535,-8833374.896441381,209.0
6199033.00006491,-8819693.342090413,210.0
6199228.210666849,-8813181.161213705,211.0
6198801.501605993,-8802427.100909626,212.0
6197538.110485482,-8790000.186762828,213.0
6195893.066148566,-8779066.892229585,214.0
6193678.441353816,-8765684.061668828,215.0
6191672.526403362,-8753735.10576799,216.0
6189867.200522639,-8742981.045591919,217.0
6187620.569666233,-8729598.215017267,218.0
6185634.705521272,-8717768.748664675,219.0
6183729.0758608235,-8706417.240708327,220.0
6181843.502603953,-8695185.22218334,221.0
6179857.630344647,-8683355.75583076,222.0
6177891.814843687,-8671645.779190645,223.0
6175665.224346586,-8658382.43819765,224.0
6173679.343847717,-8646552.972025957,225.0
6171853.935689603,-8635679.422351716,226.0
6169747.692767534,-8623133.018720679,227.0
6168002.517703979,-8612737.427217243,228.0
6165555.257671759,-8598159.701068088,229.0
6163589.423016881,-8586449.724277698,230.0
6161633.615216183,-8574799.492424237,231.0
6159848.311031232,-8564164.921693468,232.0
6156708.977576102,-8545464.805784307,233.0
6154552.563828546,-8532619.678285668,234.0
6153118.295704215,-8524076.174786204,235.0
6151543.609266162,-8514696.244398223,236.0
6149477.45645226,-8502388.819990972,237.0
6147872.675290107,-8492829.6552922,238.0
6146448.431062864,-8484345.896620391,239.0
6144663.108193529,-8473711.32591467,240.0
6142536.765847462,-8461045.43271957,241.0
6140480.63009354,-8448797.753017172,242.0
6138514.7605549805,-8437087.77653941,243.0
6136655.205987636,-8426011.094533209,244.0
6135279.093002669,-8417814.110770172,245.0
6132617.132602944,-8401957.84640252,246.0
6130472.718167793,-8389184.412660867,247.0
6128179.645290521,-8375825.479966363,248.0
6125882.847581613,-8365119.215575653,249.0
6120779.850404617,-8354496.593762129,250.0
6117809.504428038,-8348127.800260969,251.0
6114755.195907784,-8342033.83281237,252.0
6108815.244325029,-8335785.265148841,253.0
