X,Y,date_index
3395746.0977272857,-9460187.461164586,1.0
3401074.249435161,-9448589.649478449,2.0
3405265.370612771,-9450548.742087072,3.0
3406619.288466043,-9486373.22569052,4.0
3413871.4287221665,-9503789.689905904,5.0
3421123.528487012,-9521143.94266726,6.0
3428375.586823049,-9538404.402635053,7.0
3435627.603411729,-9555534.275934584,8.0
3442879.579193996,-9572492.219620168,9.0
3450131.513813681,-9589232.999016725,10.0
3457383.4068957428,-9605708.13504261,11.0
3464635.258685708,-9621866.5426269,12.0
3471887.068769912,-9637655.16077771,13.0
3479138.837998269,-9653019.567622382,14.0
3486390.565919028,-9667904.580976136,15.0
3493642.252062046,-9682254.844439186,16.0
3500893.8972213417,-9696015.395126147,17.0
3508145.5008884044,-9709132.210801337,18.0
3515397.0625347346,-9721552.736419952,19.0
3526274.3189683,-9738597.511349214,20.0
3533525.777291464,-9749052.397845482,21.0
3540777.1937355674,-9758646.385040948,22.0
3548028.5685451603,-9767339.457660384,23.0
3551654.248940293,-9771535.624158535,24.0
3558905.561747172,-9778817.111088162,25.0
3566156.832808606,-9785114.46971047,26.0
3569782.457657553,-9788013.691226613,27.0
3577033.6665203925,-9792791.751976416,28.0
3584284.8338384363,-9796531.973321188,29.0
3616914.541471039,-9799677.405442797,30.0
3624165.478826223,-9797654.05959515,31.0
3631416.374068088,-9794618.275502184,32.0
3638667.227314716,-9790594.930565396,33.0
3649543.4411781486,-9783040.015414806,34.0
3656794.1900031534,-9776680.701744368,35.0
3664044.897266213,-9769463.365639828,36.0
3671295.562024119,-9761437.481564617,37.0
3678546.1854848494,-9752657.483265473,38.0
3685796.766667042,-9743182.517014235,39.0
3693047.305872431,-9733076.158485305,40.0
3700297.802950591,-9722406.108111257,41.0
3696672.568335249,-9727917.517918248,42.0
3703923.044396888,-9716976.92314741,43.0
3707548.2581663714,-9711243.85749547,44.0
3714798.671330309,-9699664.333189745,45.0
3722049.0422346494,-9687745.521176549,46.0
3729299.371088324,-9675568.067974186,47.0
3725674.2204993046,-9681729.41866903,48.0
3732924.528580329,-9669436.109521093,49.0
3740174.794674513,-9657008.879129548,50.0
3747425.018944509,-9644533.28487203,51.0
3754675.200877649,-9632096.045745067,52.0
3761925.34059878,-9619784.587623948,53.0
