LATITUDE,LONGITUDE,OBSERVATION DATE
3388500.885902333,-9442712.371652571,43101
3388500.885902333,-9442712.371652571,43101
3395746.0977272857,-9460187.461164586,43102
3402850.3541207165,-9444723.712249734,43102
3402993.2082512467,-9477653.0417657,43103
3417199.65999031,-9446735.052846894,43103
3410245.3686808394,-9495093.40961534,43104
3431548.805152132,-9448746.393444056,43104
3417497.4887634935,-9512485.970196467,43105
3445897.788407033,-9450757.734041216,43105
3424749.568210529,-9529801.915138053,43106
3460246.6108243954,-9452769.074638378,43106
3432001.60543557,-9547006.89013205,43107
3474595.2706249305,-9454780.416348733,43107
3439253.6013878887,-9564061.661737116,43108
3488943.769584617,-9456791.756945895,43108
3446505.5570001015,-9580922.77750322,43109
3503292.105342547,-9458803.097543055,43109
3453757.4706272604,-9597543.22053023,43110
3517640.280385656,-9460814.438140217,43110
3461009.3431642246,-9613873.049554989,43111
3531988.29177001,-9462825.778737377,43111
3468261.1742071905,-9629860.035698809,43112
3546336.140118509,-9464837.11933454,43112
3475512.9633326344,-9645450.28585661,43113
3560683.825767698,-9466848.461044896,43113
3482764.7126639043,-9660588.849388152,43114
3575031.3487663916,-9468859.801642058,43114
3490016.419174151,-9675220.312564118,43115
3589378.708874281,-9470871.142239219,43115
3497268.0849499404,-9689289.376314254,43116
3603725.90556054,-9472882.482836379,43116
3504519.709492743,-9702741.413938042,43117
3618072.9380024127,-9474893.82343354,43117
3511771.2922840663,-9715523.00766463,43118
3632419.8076810963,-9476905.1640307,43118
3519022.832785403,-9727582.465175273,43119
3646766.513194743,-9478916.504627863,43119
3526274.33301359,-9738870.312748676,43120
3661113.054147031,-9480927.84633822,43120
3533525.7911059083,-9749339.756123692,43121
3675459.4311533216,-9482939.18693538,43121
3540777.207754893,-9758947.12466408,43122
3689805.644542166,-9484950.527532542,43122
3548028.582345901,-9767652.274335071,43123
3704151.6943539637,-9486961.868129702,43123
3555279.9155346854,-9775418.973981999,43124
3718497.577724011,-9488973.208726864,43124
3562531.207959659,-9782215.248194326,43125
3732843.298031093,-9490984.549324024,43125
3569782.457657553,-9788013.691226613,43126
3747188.8531367164,-9492995.89103438,43126
3577033.6665203925,-9792791.751976416,43127
3761534.243227475,-9495007.231631542,43127
3584284.8338384363,-9796531.973321188,43128
3775879.46951524,-9497018.572228704,43128
3591535.9588814303,-9799222.208078096,43129
3790224.528981267,-9499029.912825866,43129
3598787.042193712,-9800855.790436031,43130
3804569.4248886774,-9501041.253423026,43130
3606038.0830061156,-9801431.669538997,43131
3818914.1549517103,-9503052.594020188,43131
3613289.0831221226,-9800954.51190005,43132
3833258.719224851,-9505063.935730545,43132
3620540.041735731,-9799434.764853403,43133
3847603.1187954317,-9507075.276327705,43133
3627790.958020186,-9796888.675478732,43134
3861947.3518196186,-9509086.616924867,43134
3635041.832426851,-9793338.286148414,43135
3876291.4201309336,-9511097.957522027,43135
3642292.664089584,-9788811.37552818,43136
3890635.3226291193,-9513109.29811919,43136
3649543.4547222434,-9783341.385106256,43137
3904979.059247945,-9515120.63871635,43137
3656794.2047226187,-9776967.285609985,43138
3919322.629631936,-9517131.980426706,43138
3664044.910564601,-9769733.434516858,43139
3933666.0357984747,-9519143.321023867,43139
3671295.5765114194,-9761689.376792645,43140
3948009.2741528447,-9521154.661621029,43140
3678546.198996337,-9752889.63338435,43141
3962352.347469001,-9523166.002218189,43141
3685796.7809467926,-9743393.439619418,43142
3976695.254236278,-9525177.34281535,43142
3693047.320057997,-9733264.478038944,43143
3991037.9953249074,-9527188.683412513,43143
3700297.8166125016,-9722570.55779755,43144
4005380.5699813603,-9529200.025122868,43144
3707548.272181274,-9711383.288497273,43145
4019722.978502093,-9531211.36572003,43145
3714798.685705338,-9699777.726191586,43146
4034065.2195539125,-9533222.70631719,43146
3722049.056104315,-9687831.984880373,43147
4048407.295544528,-9535234.046914352,43147
3729299.384894294,-9675626.85245769,43148
4062749.2045661085,-9537245.387511512,43148
3736549.6722663636,-9663245.366584495,43149
4077090.9484593943,-9539256.728108674,43149
3743799.9170826613,-9650772.391674599,43150
4091432.5247368966,-9541268.068705834,43150
3751050.120806358,-9638294.178069463,43151
4105773.934667406,-9543279.410416191,43151
3758300.2809489393,-9625897.913420673,43152
4120115.1792396163,-9545290.751013353,43152
3765550.4002486207,-9613671.261827223,43153
4134456.256450176,-9547302.091610514,43153
3772800.476176584,-9601701.911878401,43154
4148797.166713565,-9549313.432207676,43154
3780050.5101224873,-9590077.106885538,43155
4163137.910160507,-9551324.772804836,43155
3787300.503460473,-9578883.19181166,43156
4177478.4879973787,-9553336.113401998,43156
3794550.452284838,-9568205.150182433,43157
4191818.8997890265,-9555347.455112355,43157
3801800.3605627967,-9558126.157694984,43158
4206159.144812922,-9557358.795709515,43158
3809050.2269816245,-9548727.144732319,43159
4220499.222057908,-9559370.136306677,43159
3816300.0502065453,-9540086.35665132,43160
4234839.134326111,-9561381.476903837,43160
3823549.831519233,-9532278.949693,43161
4249178.878671972,-9563392.817501,43161
3830799.569545451,-9525376.584666362,43162
4263518.457335684,-9565404.15809816,43162
3838049.266851441,-9519447.050688522,43163
4277857.869539269,-9567415.499808514,43163
3845298.9207040435,-9514553.904509552,43164
4292197.115592145,-9569426.840405677,43164
3852548.5336346203,-9510756.134327622,43165
4306536.194145508,-9571438.181002837,43165
3859798.1028685826,-9508107.844754847,43166
4320875.107696286,-9573449.521599999,43166
3867047.6309022447,-9506657.980744932,43167
4335213.854331007,-9575460.862197159,43167
3874297.1162443515,-9506450.06265281,43168
4349552.433226092,-9577472.20279432,43168
3881546.5587069085,-9507521.961369243,43169
4363890.847423965,-9579483.544504678,43169
3888795.9594092155,-9509905.706851318,43170
4378229.095544063,-9581494.885101838,43170
3959126.1584673203,-9513627.318916816,43171
4392567.175917296,-9583506.225699002,43171
4027889.7581534563,-9518706.682566375,43172
4406905.090753783,-9585517.566296162,43172
3831956.003072257,-9525157.44668276,43173
4421242.840603601,-9587528.906893324,43173
3728016.5311591877,-9532986.966144733,43174
4435580.422952945,-9589540.247490484,43174
3654001.6633311873,-9542196.271770773,43175
4449917.83918061,-9591551.58920084,43175
3620041.460064008,-9552780.083677435,43176
4464255.0903935665,-9593562.929798001,43176
3596069.071660598,-9564726.849127963,43177
4478592.174627726,-9595574.270395162,43177
3562067.688569242,-9578018.824908718,43178
4492929.093832767,-9597585.610992324,43178
3518122.510961687,-9592632.186422283,43179
4507265.846885078,-9599596.951589486,43179
3504524.406727067,-9608537.180195158,43180
4521602.4337820215,-9601608.292186646,43180
3491214.660910926,-9625698.295309782,43181
4535938.855650405,-9603619.632783808,43181
3478287.6088491073,-9644074.48493031,43182
4550275.11193765,-9605630.974494163,43182
3465839.680821886,-9663619.401186757,43183
4564611.201811669,-9607642.315091323,43183
3453969.028593831,-9684281.67124731,43184
4578947.126984944,-9609653.655688485,43184
3442775.132684476,-9706005.19676778,43185
4593282.887489284,-9611664.996285645,43185
3432358.398130313,-9728729.481170898,43186
4607618.481665004,-9613676.336882807,43186
3422819.7386163445,-9752389.981415901,43187
4621953.911823955,-9615687.67747997,43187
3414260.148691733,-9776918.479805637,43188
4636289.175755205,-9617699.019190326,43188
3406780.257239132,-9802243.47917075,43189
4650624.275229046,-9619710.359787488,43189
3400479.8922042204,-9828290.616978202,43190
4664959.208903443,-9621721.700384649,43190
3475866.2805113085,-9854983.092798093,43191
4679293.97800887,-9623733.04098181,43191
3522472.1660896684,-9882242.108015675,43192
4693628.58351034,-9625744.38157897,43192
3449939.865217045,-9909987.322241245,43193
4707963.023245439,-9627755.722176133,43193
3429221.817639306,-9938137.310833262,43194
4722297.29906562,-9629767.063886488,43194
3390051.3962852294,-9966610.0346666,43195
4736631.411127359,-9631778.404483648,43195
3392822.3461323422,-9995323.307674397,43196
4750965.357881025,-9633789.74508081,43196
3397411.042748608,-10024195.268842708,43197
4765299.141814078,-9635801.08567797,43197
3403894.6569604683,-10053144.847525977,43198
4779632.7608367475,-9637812.426275132,43198
3412345.5787207866,-10082092.230988884,43199
4793966.215463864,-9639823.766872292,43199
3422831.01528428,-10110959.31191072,43200
4808299.507389605,-9641835.10858265,43200
3435412.6217670697,-10139670.138116108,43201
4822632.635156276,-9643846.449179811,43201
3450146.129001214,-10168151.34338145,43202
4836965.598479416,-9644057.789233083,43202
3467081.017867342,-10196332.56265661,43203
4851298.399708186,-9644269.130399548,43203
3486260.194769382,-10224146.827249123,43204
4865631.038032789,-9644480.471566012,43204
3507719.7085948666,-10251530.946650043,43205
4879963.512373039,-9644691.811619284,43205
3531488.48304387,-10278425.861416724,43206
4894295.822834653,-9644903.15278575,43206
3557588.085691083,-10304776.970452122,43207
4908627.972178265,-9645114.493952217,43207
3586032.5206340374,-10330534.43713341,43208
4922959.958531782,-9645325.834005488,43208
3616828.0587337753,-10355653.465384295,43209
4937291.7812124165,-9645537.175171955,43209
3649973.092577897,-10380094.539011935,43210
4951623.44220218,-9645748.51633842,43210
3685458.0319385706,-10403823.63766675,43211
4965954.941764341,-9645959.85639169,43211
3723265.2325512646,-10426812.412727213,43212
4980286.278431795,-9646171.197558157,43212
3763368.9525031024,-10449038.336467974,43213
4994617.4534122655,-9646382.538724622,43213
3805735.357045119,-10470484.806700174,43214
5008948.466185508,-9646593.878777893,43214
3980936.649971036,-10491141.222468706,43215
5023279.317444861,-9646805.219944362,43215
4027689.811378768,-10511003.017448058,43216
5037610.0076283645,-9647016.559997631,43216
4076555.86309229,-10530071.663281897,43217
5051940.536917846,-9647227.901164098,43217
4137514.771995851,-10548354.626168473,43218
5066270.90375479,-9647439.24233056,43218
