LATITUDE,LONGITUDE,OBSERVATION DATE
3388500.885902333,-9442712.371652571,43101
3388500.885902333,-9442712.371652571,43101
3395746.0977272857,-9460187.461164586,43101
3402850.3541207165,-9444723.712249734,43101
3402993.2082512467,-9477653.0417657,43101
3417199.65999031,-9446735.052846894,43101
3410245.3686808394,-9495093.40961534,43101
3431548.805152132,-9448746.393444056,43101
3388500.885902333,-9442712.371652571,43102
3388500.885902333,-9442712.371652571,43102
3395746.0977272857,-9460187.461164586,43102
3402850.3541207165,-9444723.712249734,43102
3402993.2082512467,-9477653.0417657,43102
3417199.65999031,-9446735.052846894,43102
3410245.3686808394,-9495093.40961534,43102
3431548.805152132,-9448746.393444056,43102
3417497.4887634935,-9512485.970196467,43102
3445897.788407033,-9450757.734041216,43102
3388500.885902333,-9442712.371652571,43103
3388500.885902333,-9442712.371652571,43103
3395746.0977272857,-9460187.461164586,43103
3402850.3541207165,-9444723.712249734,43103
3402993.2082512467,-9477653.0417657,43103
3417199.65999031,-9446735.052846894,43103
3410245.3686808394,-9495093.40961534,43103
3431548.805152132,-9448746.393444056,43103
3417497.4887634935,-9512485.970196467,43103
3445897.788407033,-9450757.734041216,43103
3424749.568210529,-9529801.915138053,43103
3460246.6108243954,-9452769.074638378,43103
3395746.0977272857,-9460187.461164586,43104
3402850.3541207165,-9444723.712249734,43104
3402993.2082512467,-9477653.0417657,43104
3417199.65999031,-9446735.052846894,43104
3410245.3686808394,-9495093.40961534,43104
3431548.805152132,-9448746.393444056,43104
3417497.4887634935,-9512485.970196467,43104
3445897.788407033,-9450757.734041216,43104
3424749.568210529,-9529801.915138053,43104
3460246.6108243954,-9452769.074638378,43104
3432001.60543557,-9547006.89013205,43104
3474595.2706249305,-9454780.416348733,43104
3402993.2082512467,-9477653.0417657,43105
3417199.65999031,-9446735.052846894,43105
3410245.3686808394,-9495093.40961534,43105
3431548.805152132,-9448746.393444056,43105
3417497.4887634935,-9512485.970196467,43105
3445897.788407033,-9450757.734041216,43105
3424749.568210529,-9529801.915138053,43105
3460246.6108243954,-9452769.074638378,43105
3432001.60543557,-9547006.89013205,43105
3474595.2706249305,-9454780.416348733,43105
3439253.6013878887,-9564061.661737116,43105
3488943.769584617,-9456791.756945895,43105
3410245.3686808394,-9495093.40961534,43106
3431548.805152132,-9448746.393444056,43106
3417497.4887634935,-9512485.970196467,43106
3445897.788407033,-9450757.734041216,43106
3424749.568210529,-9529801.915138053,43106
3460246.6108243954,-9452769.074638378,43106
3432001.60543557,-9547006.89013205,43106
3474595.2706249305,-9454780.416348733,43106
3439253.6013878887,-9564061.661737116,43106
3488943.769584617,-9456791.756945895,43106
3446505.5570001015,-9580922.77750322,43106
3503292.105342547,-9458803.097543055,43106
3417497.4887634935,-9512485.970196467,43107
3445897.788407033,-9450757.734041216,43107
3424749.568210529,-9529801.915138053,43107
3460246.6108243954,-9452769.074638378,43107
3432001.60543557,-9547006.89013205,43107
3474595.2706249305,-9454780.416348733,43107
3439253.6013878887,-9564061.661737116,43107
3488943.769584617,-9456791.756945895,43107
3446505.5570001015,-9580922.77750322,43107
3503292.105342547,-9458803.097543055,43107
3453757.4706272604,-9597543.22053023,43107
3517640.280385656,-9460814.438140217,43107
3424749.568210529,-9529801.915138053,43108
3460246.6108243954,-9452769.074638378,43108
3432001.60543557,-9547006.89013205,43108
3474595.2706249305,-9454780.416348733,43108
3439253.6013878887,-9564061.661737116,43108
3488943.769584617,-9456791.756945895,43108
3446505.5570001015,-9580922.77750322,43108
3503292.105342547,-9458803.097543055,43108
3453757.4706272604,-9597543.22053023,43108
3517640.280385656,-9460814.438140217,43108
3461009.3431642246,-9613873.049554989,43108
3531988.29177001,-9462825.778737377,43108
3432001.60543557,-9547006.89013205,43109
3474595.2706249305,-9454780.416348733,43109
3439253.6013878887,-9564061.661737116,43109
3488943.769584617,-9456791.756945895,43109
3446505.5570001015,-9580922.77750322,43109
3503292.105342547,-9458803.097543055,43109
3453757.4706272604,-9597543.22053023,43109
3517640.280385656,-9460814.438140217,43109
3461009.3431642246,-9613873.049554989,43109
3531988.29177001,-9462825.778737377,43109
3468261.1742071905,-9629860.035698809,43109
3546336.140118509,-9464837.11933454,43109
3439253.6013878887,-9564061.661737116,43110
3488943.769584617,-9456791.756945895,43110
3446505.5570001015,-9580922.77750322,43110
3503292.105342547,-9458803.097543055,43110
3453757.4706272604,-9597543.22053023,43110
3517640.280385656,-9460814.438140217,43110
3461009.3431642246,-9613873.049554989,43110
3531988.29177001,-9462825.778737377,43110
3468261.1742071905,-9629860.035698809,43110
3546336.140118509,-9464837.11933454,43110
3475512.9633326344,-9645450.28585661,43110
3560683.825767698,-9466848.461044896,43110
3446505.5570001015,-9580922.77750322,43111
3503292.105342547,-9458803.097543055,43111
3453757.4706272604,-9597543.22053023,43111
3517640.280385656,-9460814.438140217,43111
3461009.3431642246,-9613873.049554989,43111
3531988.29177001,-9462825.778737377,43111
3468261.1742071905,-9629860.035698809,43111
3546336.140118509,-9464837.11933454,43111
3475512.9633326344,-9645450.28585661,43111
3560683.825767698,-9466848.461044896,43111
3482764.7126639043,-9660588.849388152,43111
3575031.3487663916,-9468859.801642058,43111
3453757.4706272604,-9597543.22053023,43112
3517640.280385656,-9460814.438140217,43112
3461009.3431642246,-9613873.049554989,43112
3531988.29177001,-9462825.778737377,43112
3468261.1742071905,-9629860.035698809,43112
3546336.140118509,-9464837.11933454,43112
3475512.9633326344,-9645450.28585661,43112
3560683.825767698,-9466848.461044896,43112
3482764.7126639043,-9660588.849388152,43112
3575031.3487663916,-9468859.801642058,43112
3490016.419174151,-9675220.312564118,43112
3589378.708874281,-9470871.142239219,43112
3461009.3431642246,-9613873.049554989,43113
3531988.29177001,-9462825.778737377,43113
3468261.1742071905,-9629860.035698809,43113
3546336.140118509,-9464837.11933454,43113
3475512.9633326344,-9645450.28585661,43113
3560683.825767698,-9466848.461044896,43113
3482764.7126639043,-9660588.849388152,43113
3575031.3487663916,-9468859.801642058,43113
3490016.419174151,-9675220.312564118,43113
3589378.708874281,-9470871.142239219,43113
3497268.0849499404,-9689289.376314254,43113
3603725.90556054,-9472882.482836379,43113
3468261.1742071905,-9629860.035698809,43114
3546336.140118509,-9464837.11933454,43114
3475512.9633326344,-9645450.28585661,43114
3560683.825767698,-9466848.461044896,43114
3482764.7126639043,-9660588.849388152,43114
3575031.3487663916,-9468859.801642058,43114
3490016.419174151,-9675220.312564118,43114
3589378.708874281,-9470871.142239219,43114
3497268.0849499404,-9689289.376314254,43114
3603725.90556054,-9472882.482836379,43114
3504519.709492743,-9702741.413938042,43114
3618072.9380024127,-9474893.82343354,43114
3475512.9633326344,-9645450.28585661,43115
3560683.825767698,-9466848.461044896,43115
3482764.7126639043,-9660588.849388152,43115
3575031.3487663916,-9468859.801642058,43115
3490016.419174151,-9675220.312564118,43115
3589378.708874281,-9470871.142239219,43115
3497268.0849499404,-9689289.376314254,43115
3603725.90556054,-9472882.482836379,43115
3504519.709492743,-9702741.413938042,43115
3618072.9380024127,-9474893.82343354,43115
3511771.2922840663,-9715523.00766463,43115
3632419.8076810963,-9476905.1640307,43115
3482764.7126639043,-9660588.849388152,43116
3575031.3487663916,-9468859.801642058,43116
3490016.419174151,-9675220.312564118,43116
3589378.708874281,-9470871.142239219,43116
3497268.0849499404,-9689289.376314254,43116
3603725.90556054,-9472882.482836379,43116
3504519.709492743,-9702741.413938042,43116
3618072.9380024127,-9474893.82343354,43116
3511771.2922840663,-9715523.00766463,43116
3632419.8076810963,-9476905.1640307,43116
3519022.832785403,-9727582.465175273,43116
3646766.513194743,-9478916.504627863,43116
3490016.419174151,-9675220.312564118,43117
3589378.708874281,-9470871.142239219,43117
3497268.0849499404,-9689289.376314254,43117
3603725.90556054,-9472882.482836379,43117
3504519.709492743,-9702741.413938042,43117
3618072.9380024127,-9474893.82343354,43117
3511771.2922840663,-9715523.00766463,43117
3632419.8076810963,-9476905.1640307,43117
3519022.832785403,-9727582.465175273,43117
3646766.513194743,-9478916.504627863,43117
3526274.33301359,-9738870.312748676,43117
3661113.054147031,-9480927.84633822,43117
3497268.0849499404,-9689289.376314254,43118
3603725.90556054,-9472882.482836379,43118
3504519.709492743,-9702741.413938042,43118
3618072.9380024127,-9474893.82343354,43118
3511771.2922840663,-9715523.00766463,43118
3632419.8076810963,-9476905.1640307,43118
3519022.832785403,-9727582.465175273,43118
3646766.513194743,-9478916.504627863,43118
3526274.33301359,-9738870.312748676,43118
3661113.054147031,-9480927.84633822,43118
3533525.7911059083,-9749339.756123692,43118
3675459.4311533216,-9482939.18693538,43118
3504519.709492743,-9702741.413938042,43119
3618072.9380024127,-9474893.82343354,43119
3511771.2922840663,-9715523.00766463,43119
3632419.8076810963,-9476905.1640307,43119
3519022.832785403,-9727582.465175273,43119
3646766.513194743,-9478916.504627863,43119
3526274.33301359,-9738870.312748676,43119
3661113.054147031,-9480927.84633822,43119
3533525.7911059083,-9749339.756123692,43119
3675459.4311533216,-9482939.18693538,43119
3540777.207754893,-9758947.12466408,43119
3689805.644542166,-9484950.527532542,43119
3511771.2922840663,-9715523.00766463,43120
3632419.8076810963,-9476905.1640307,43120
3519022.832785403,-9727582.465175273,43120
3646766.513194743,-9478916.504627863,43120
3526274.33301359,-9738870.312748676,43120
3661113.054147031,-9480927.84633822,43120
3533525.7911059083,-9749339.756123692,43120
3675459.4311533216,-9482939.18693538,43120
3540777.207754893,-9758947.12466408,43120
3689805.644542166,-9484950.527532542,43120
3548028.582345901,-9767652.274335071,43120
3704151.6943539637,-9486961.868129702,43120
3519022.832785403,-9727582.465175273,43121
