"COMMON_NAME","SCIENTIFIC_NAME","OBSERVATION_DATE","OBSERVATION_COUNT","APPROVED","COUNTRY","STATE","COUNTY","LATITUDE","LONGITUDE","OBS_DATE","YEAR"
"Sprague's Pipit","Anthus spragueii","2018-06-22","3","1","Canada","Saskatchewan","Maple Creek","49.1285400","-107.4289475",2018-06-22,2018
"Sprague's Pipit","Anthus spragueii","2018-06-22","3","1","Canada","Saskatchewan","Maple Creek","49.1453629","-107.4311905",2018-06-22,2018
"Sprague's Pipit","Anthus spragueii","2018-06-22","6","1","Canada","Saskatchewan","Maple Creek","49.1033440","-107.4093552",2018-06-22,2018
"Sprague's Pipit","Anthus spragueii","2018-06-22","1","1","Canada","Saskatchewan","Maple Creek","49.0941582","-107.4741287",2018-06-22,2018
"Sprague's Pipit","Anthus spragueii","2018-06-22","1","1","Canada","Saskatchewan","Moose Jaw","50.4413223","-106.6431580",2018-06-22,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Refugio","28.3683330","-96.8466670",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Waller","29.9321762","-95.9149790",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-02","1","1","United States","Texas","San Patricio","28.0627190","-97.8780270",2018-01-02,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Waller","29.9321762","-95.9149790",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Waller","29.9321762","-95.9149790",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Waller","29.9321762","-95.9149790",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-02","2","1","United States","Texas","Brazos","30.6743866","-96.5174246",2018-01-02,2018
"Sprague's Pipit","Anthus spragueii","2018-01-02","4","1","Mexico","Chihuahua","","29.7204084","-106.1340237",2018-01-02,2018
"Sprague's Pipit","Anthus spragueii","2018-01-01","1","1","United States","Texas","Jim Wells","28.0369646","-97.8697381",2018-01-01,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","1","1","United States","Texas","Hidalgo","26.1443850","-98.3217880",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","1","1","United States","Texas","Kleberg","27.4965727","-98.0131540",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-04","1","1","United States","Texas","DeWitt","29.0748970","-97.6535761",2018-01-04,2018
"Sprague's Pipit","Anthus spragueii","2018-01-04","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-04,2018
"Sprague's Pipit","Anthus spragueii","2018-01-04","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-04,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","4","1","United States","Texas","Cameron","26.0258236","-97.2584251",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-04","2","1","United States","Texas","Colorado","29.6713490","-96.2737083",2018-01-04,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","2","1","United States","Texas","San Patricio","28.0289570","-97.7053900",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","4","1","United States","Texas","Cameron","26.2258690","-97.3481930",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.2673502","-98.3251711",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","3","1","United States","Texas","Cameron","26.0416620","-97.2820770",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","1","1","United States","Texas","Harris","29.7560322","-95.0492263",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","1","1","United States","Texas","San Patricio","28.0003160","-97.6926830",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","1","1","United States","Texas","San Patricio","28.0003160","-97.6926830",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","4","1","United States","Texas","Cameron","26.3202949","-97.6749188",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","1","1","United States","Florida","Franklin","29.7255080","-85.0259600",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","3","1","United States","Texas","Willacy","26.3061881","-97.5729704",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-06","2","1","United States","Texas","Kenedy","26.7155827","-97.4695229",2018-01-06,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","1","1","United States","Louisiana","Acadia","30.2459243","-92.3556232",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-05","7","1","United States","Texas","Kleberg","27.5188805","-97.8027391",2018-01-05,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","1","1","Mexico","Chihuahua","","29.7385001","-106.1276722",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-03","1","1","Mexico","Chihuahua","","29.7385001","-106.1276722",2018-01-03,2018
"Sprague's Pipit","Anthus spragueii","2018-01-07","4","1","United States","Texas","Colorado","29.6713490","-96.2737083",2018-01-07,2018
"Sprague's Pipit","Anthus spragueii","2018-01-08","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-08,2018
"Sprague's Pipit","Anthus spragueii","2018-01-08","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-08,2018
"Sprague's Pipit","Anthus spragueii","2018-01-04","2","1","United States","Florida","Franklin","29.7256260","-85.0286865",2018-01-04,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Williamson","30.5571330","-97.2461330",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Williamson","30.5571330","-97.2461330",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-09","1","1","United States","Texas","Williamson","30.5571330","-97.2461330",2018-01-09,2018
"Sprague's Pipit","Anthus spragueii","2018-01-10","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-10,2018
"Sprague's Pipit","Anthus spragueii","2018-01-10","2","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-10,2018
"Sprague's Pipit","Anthus spragueii","2018-01-11","1","1","United States","Texas","Travis","30.4369080","-97.5692797",2018-01-11,2018
"Sprague's Pipit","Anthus spragueii","2018-01-11","1","1","Mexico","Durango","","23.9173140","-104.7265460",2018-01-11,2018
"Sprague's Pipit","Anthus spragueii","2018-01-12","3","1","United States","Texas","Nacogdoches","31.5791940","-94.7043250",2018-01-12,2018
"Sprague's Pipit","Anthus spragueii","2018-01-11","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-11,2018
"Sprague's Pipit","Anthus spragueii","2018-01-11","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-11,2018
"Sprague's Pipit","Anthus spragueii","2018-01-11","1","1","United States","Texas","Hidalgo","26.1384105","-98.3327866",2018-01-11,2018
"Sprague's Pipit","Anthus spragueii","2018-01-12","1","1","United States","Louisiana","Caddo","32.8398612","-93.8444853",2018-01-12,2018
