COMMON_NAME,SCIENTIFIC_NAME,OBSERVATION_DATE,OBSERVATION_COUNT,APPROVED,COUNTRY,STATE,COUNTY,LATITUDE,LONGITUDE,OBS_DATE,YEAR
Virtual Species,Virtual species,2018/6/22,1,1,Canada,Saskatchewan,Maple Creek,29.10094916,-84.82532847,2018/1/1,2018
Virtual Species,Virtual species,2018/6/22,1,1,Canada,Saskatchewan,Maple Creek,29.10094916,-84.82532847,2018/1/1,2018
Virtual Species,Virtual species,2018/6/22,1,1,Canada,Saskatchewan,Maple Creek,29.15780225,-84.98230987,2018/1/2,2018
Virtual Species,Virtual species,2018/6/22,1,1,Canada,Saskatchewan,Maple Creek,29.21351872,-84.84339665,2018/1/2,2018
Virtual Species,Virtual species,2018/6/22,1,1,Canada,Saskatchewan,Moose Jaw,29.21463877,-85.13920585,2018/1/3,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Refugio,29.32596347,-84.86146483,2018/1/3,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Waller,29.27148335,-85.29587534,2018/1/4,2018
Virtual Species,Virtual species,2018/1/2,1,1,United States,Texas,San Patricio,29.43828313,-84.87953301,2018/1/4,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Waller,29.32829602,-85.45211537,2018/1/5,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Waller,29.5504774,-84.89760119,2018/1/5,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Waller,29.38507674,-85.60766715,2018/1/6,2018
Virtual Species,Virtual species,2018/1/2,1,1,United States,Texas,Brazos,29.662546,-84.91566937,2018/1/6,2018
Virtual Species,Virtual species,2018/1/2,1,1,Mexico,Chihuahua,,29.44182546,-85.76222207,2018/1/7,2018
Virtual Species,Virtual species,2018/1/1,1,1,United States,Texas,Jim Wells,29.77448863,-84.93373756,2018/1/7,2018
Virtual Species,Virtual species,2018/1/3,1,1,United States,Texas,Hidalgo,29.49854215,-85.91542769,2018/1/8,2018
Virtual Species,Virtual species,2018/1/3,1,1,United States,Texas,Hidalgo,29.88630502,-84.95180574,2018/1/8,2018
Virtual Species,Virtual species,2018/1/3,1,1,United States,Texas,Kleberg,29.55522678,-86.06689367,2018/1/9,2018
Virtual Species,Virtual species,2018/1/3,1,1,United States,Texas,Hidalgo,29.99799487,-84.96987392,2018/1/9,2018
Virtual Species,Virtual species,2018/1/4,1,1,United States,Texas,DeWitt,29.6118793,-86.21619765,2018/1/10,2018
Virtual Species,Virtual species,2018/1/4,1,1,United States,Texas,Hidalgo,30.10955792,-84.9879421,2018/1/10,2018
Virtual Species,Virtual species,2018/1/4,1,1,United States,Texas,Hidalgo,29.66849968,-86.362891,2018/1/11,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,30.22099387,-85.00601028,2018/1/11,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Cameron,29.72508788,-86.50650454,2018/1/12,2018
Virtual Species,Virtual species,2018/1/4,1,1,United States,Texas,Colorado,30.33230245,-85.02407846,2018/1/12,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,29.78164386,-86.64655414,2018/1/13,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,San Patricio,30.44348339,-85.04214665,2018/1/13,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Cameron,29.8381676,-86.78254617,2018/1/14,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,30.55453642,-85.06021483,2018/1/14,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Cameron,29.89465904,-86.91398284,2018/1/15,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,30.66546127,-85.07828301,2018/1/15,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,29.95111816,-87.04036739,2018/1/16,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,Harris,30.77625767,-85.09635119,2018/1/16,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Hidalgo,30.00754492,-87.1612091,2018/1/17,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,San Patricio,30.88692535,-85.11441937,2018/1/17,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,San Patricio,30.06393928,-87.27602811,2018/1/18,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,Cameron,30.99746406,-85.13248755,2018/1/18,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Florida,Franklin,30.1203012,-87.38436006,2018/1/19,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,Willacy,31.10787353,-85.15055573,2018/1/19,2018
Virtual Species,Virtual species,2018/1/6,1,1,United States,Texas,Kenedy,30.17663066,-87.48576052,2018/1/20,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Louisiana,Acadia,31.2181535,-85.16862392,2018/1/20,2018
Virtual Species,Virtual species,2018/1/5,1,1,United States,Texas,Kleberg,30.23292761,-87.57980913,2018/1/21,2018
Virtual Species,Virtual species,2018/1/3,1,1,Mexico,Chihuahua,,31.32830372,-85.1866921,2018/1/21,2018
Virtual Species,Virtual species,2018/1/3,1,1,Mexico,Chihuahua,,30.28919202,-87.66611359,2018/1/22,2018
Virtual Species,Virtual species,2018/1/7,1,1,United States,Texas,Colorado,31.43832394,-85.20476028,2018/1/22,2018
Virtual Species,Virtual species,2018/1/8,1,1,United States,Texas,Hidalgo,30.34542385,-87.74431328,2018/1/23,2018
Virtual Species,Virtual species,2018/1/8,1,1,United States,Texas,Hidalgo,31.54821391,-85.22282846,2018/1/23,2018
Virtual Species,Virtual species,2018/1/4,1,1,United States,Florida,Franklin,30.40162307,-87.81408273,2018/1/24,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Hidalgo,31.65797336,-85.24089664,2018/1/24,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Hidalgo,30.45778965,-87.8751347,2018/1/25,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Hidalgo,31.76760207,-85.25896482,2018/1/25,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Hidalgo,30.51392354,-87.927223,2018/1/26,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Hidalgo,31.87709978,-85.27703301,2018/1/26,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Williamson,30.57002472,-87.97014505,2018/1/27,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Williamson,31.98646625,-85.29510119,2018/1/27,2018
Virtual Species,Virtual species,2018/1/9,1,1,United States,Texas,Williamson,30.62609315,-88.00374403,2018/1/28,2018
Virtual Species,Virtual species,2018/1/10,1,1,United States,Texas,Hidalgo,32.09570125,-85.31316937,2018/1/28,2018
Virtual Species,Virtual species,2018/1/10,1,1,United States,Texas,Hidalgo,30.68212879,-88.02791082,2018/1/29,2018
Virtual Species,Virtual species,2018/1/11,1,1,United States,Texas,Travis,32.20480452,-85.33123755,2018/1/29,2018
Virtual Species,Virtual species,2018/1/11,1,1,Mexico,Durango,,30.73813161,-88.04258554,2018/1/30,2018
Virtual Species,Virtual species,2018/1/12,1,1,United States,Texas,Nacogdoches,32.31377585,-85.34930573,2018/1/30,2018
Virtual Species,Virtual species,2018/1/11,1,1,United States,Texas,Hidalgo,30.79410157,-88.04775875,2018/1/31,2018
Virtual Species,Virtual species,2018/1/11,1,1,United States,Texas,Hidalgo,32.42261499,-85.36737391,2018/1/31,2018
Virtual Species,Virtual species,2018/1/11,1,1,United States,Texas,Hidalgo,30.85003865,-88.04347237,2018/2/1,2018
Virtual Species,Virtual species,2018/1/12,1,1,United States,Louisiana,Caddo,32.53132171,-85.3854421,2018/2/1,2018
Virtual Species,Virtual species,2018/1/12,1,1,United States,Texas,Waller,30.90594281,-88.02982025,2018/2/2,2018
Virtual Species,Virtual species,2018/1/12,1,1,United States,Texas,Nacogdoches,32.63989579,-85.40351028,2018/2/2,2018
Virtual Species,Virtual species,2018/1/12,1,1,United States,Texas,Nacogdoches,30.96181401,-88.00694834,2018/2/3,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Rains,32.74833699,-85.42157846,2018/2/3,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Hidalgo,31.01765222,-87.97505465,2018/2/4,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Nacogdoches,32.8566451,-85.43964664,2018/2/4,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Nacogdoches,31.0734574,-87.93438872,2018/2/5,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Nacogdoches,32.96481989,-85.45771482,2018/2/5,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Aransas,31.12922953,-87.88525096,2018/2/6,2018
Virtual Species,Virtual species,2018/1/13,1,1,Mexico,Durango,,33.07286114,-85.475783,2018/2/6,2018
Virtual Species,Virtual species,2018/1/13,1,1,United States,Texas,Aransas,31.18496858,-87.82799145,2018/2/7,2018
